#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Pseudomonas aeruginosa VRFPA04,VRFPA04,19537,SAMN02472098 ,PRJNA219238,Proteobacteria,Gammaproteobacteria,GCA_000473745.3 ,6.81803,66.5,chromosome:NZ_CP008739.1/CP008739.2,-,1,6502,5949,6/27/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/745/GCF_000473745.2_ASM47374v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/745/GCA_000473745.3_ASM47374v3
Pseudomonas aeruginosa DHS01,DHS01,19537,SAMN02383553 ,PRJNA224149,Proteobacteria,Gammaproteobacteria,GCA_000496455.2 ,7.05575,65.8,chromosome:NZ_CP013993.1/CP013993.1,-,1,6882,6698,1/25/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/455/GCF_000496455.2_ASM49645v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/455/GCA_000496455.2_ASM49645v2
Pseudomonas aeruginosa PA1,PA1,19537,SAMN02603191 ,PRJNA185335,Proteobacteria,Gammaproteobacteria,GCA_000496605.2 ,6.49807,66.4,chromosome:NC_022808.2/CP004054.2,-,1,6183,6026,11/12/2013,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/605/GCF_000496605.2_ASM49660v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/605/GCA_000496605.2_ASM49660v2
Pseudomonas aeruginosa PA1R,PA1R,19537,SAMN02603192 ,PRJNA185336,Proteobacteria,Gammaproteobacteria,GCA_000496645.1 ,6.30931,66.3,chromosome:NC_022806.1/CP004055.1,-,1,6019,5858,11/12/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/645/GCF_000496645.1_ASM49664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/496/645/GCA_000496645.1_ASM49664v1
Pseudomonas aeruginosa MTB-1,MTB-1,19537,SAMN02389526 ,PRJNA225944,Proteobacteria,Gammaproteobacteria,GCA_000504045.1 ,6.58004,66.2,chromosome:NC_023019.1/CP006853.1,-,1,6267,6104,12/5/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/045/GCF_000504045.1_ASM50404v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/045/GCA_000504045.1_ASM50404v1
Pseudomonas aeruginosa LES431,LES431,19537,SAMN02641592 ,PRJNA222518,Proteobacteria,Gammaproteobacteria,GCA_000508765.1 ,6.55007,66.3,chromosome:NC_023066.1/CP006937.1,-,1,6227,6053,12/17/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/765/GCF_000508765.1_ASM50876v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/765/GCA_000508765.1_ASM50876v1
Pseudomonas aeruginosa SCV20265,SCV20265,19537,SAMN02415141 ,PRJNA229445,Proteobacteria,Gammaproteobacteria,GCA_000510305.1 ,6.72518,66.3,chromosome:NC_023149.1/CP006931.1,-,1,6435,6258,12/18/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/510/305/GCF_000510305.1_ASM51030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/510/305/GCA_000510305.1_ASM51030v1
Pseudomonas aeruginosa YL84,YL84,19537,SAMN02641599 ,PRJNA234476,Proteobacteria,Gammaproteobacteria,GCA_000524595.1 ,6.43344,66.4,chromosome:NZ_CP007147.1/CP007147.1,-,1,6078,5902,1/30/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/595/GCF_000524595.1_ASM52459v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/595/GCA_000524595.1_ASM52459v1
Pseudomonas aeruginosa PAK,PAK,19537,SAMN02483603 ,PRJNA232360,Proteobacteria,Gammaproteobacteria,GCA_000568855.2 ,6.28332,66.3,chromosome:NZ_CP020659.1/CP020659.1,-,1,6008,5500,4/13/2017,9/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/855/GCF_000568855.2_ASM56885v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/855/GCA_000568855.2_ASM56885v2
Pseudomonas aeruginosa,F22031,19537,SAMN02673269 ,PRJNA237986,Proteobacteria,Gammaproteobacteria,GCA_000816985.1 ,6.6031,66.2,chromosome:NZ_CP007399.1/CP007399.1,-,1,6262,6095,1/9/2015,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/985/GCF_000816985.1_ASM81698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/985/GCA_000816985.1_ASM81698v1
Pseudomonas aeruginosa,NCGM 1984,19537,SAMD00019082 ,PRJDB3032,Proteobacteria,Gammaproteobacteria,GCA_000829255.1 ,6.85095,66,chromosome:NZ_AP014646.1/AP014646.1,-,1,6612,6428,9/18/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/255/GCF_000829255.1_ASM82925v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/255/GCA_000829255.1_ASM82925v1
Pseudomonas aeruginosa,NCGM 1900,19537,SAMD00018700 ,PRJDB2972,Proteobacteria,Gammaproteobacteria,GCA_000829275.1 ,6.81494,66,chromosome:NZ_AP014622.1/AP014622.1,-,1,6565,6373,8/1/2014,5/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/275/GCF_000829275.1_ASM82927v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/275/GCA_000829275.1_ASM82927v1
Pseudomonas aeruginosa,FRD1,19537,SAMN02732380 ,PRJNA245215,Proteobacteria,Gammaproteobacteria,GCA_000829885.1 ,6.71234,66.1,chromosome:NZ_CP010555.1/CP010555.1,-,1,6370,5981,1/29/2015,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/885/GCF_000829885.1_ASM82988v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/885/GCA_000829885.1_ASM82988v1
Pseudomonas aeruginosa,Carb01 63,19537,SAMN03389320 ,PRJNA281807,Proteobacteria,Gammaproteobacteria,GCA_000981825.1 ,7.49759,65.6,chromosome:NZ_CP011317.1/CP011317.1,-,1,7313,7061,4/29/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/825/GCF_000981825.1_ASM98182v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/825/GCA_000981825.1_ASM98182v1
Pseudomonas aeruginosa DSM 50071 = NBRC 12689,DSM 50071,19537,SAMN03761153 ,PRJNA285827,Proteobacteria,Gammaproteobacteria,GCA_001045685.1 ,6.31705,66.5,chromosome:NZ_CP012001.1/CP012001.1,-,1,5980,5846,7/2/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/045/685/GCF_001045685.1_ASM104568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/045/685/GCA_001045685.1_ASM104568v1
Pseudomonas aeruginosa,F9676,19537,SAMN03852256 ,PRJNA289296,Proteobacteria,Gammaproteobacteria,GCA_001077475.1 ,6.36801,66.5,chromosome:NZ_CP012066.1/CP012066.1,-,1,6006,5859,7/13/2015,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/475/GCF_001077475.1_ASM107747v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/475/GCA_001077475.1_ASM107747v1
Pseudomonas aeruginosa,PA1RG,19537,SAMN04074798 ,PRJNA295473,Proteobacteria,Gammaproteobacteria,GCA_001293085.1 ,6.50044,66.3,chromosome:NZ_CP012679.1/CP012679.1,-,1,6189,6030,9/17/2015,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/085/GCF_001293085.1_ASM129308v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/085/GCA_001293085.1_ASM129308v1
Pseudomonas aeruginosa,VA-134,19537,SAMN04284690 ,PRJNA302926,Proteobacteria,Gammaproteobacteria,GCA_001447845.1 ,6.40042,66.4,chromosome:NZ_CP013245.1/CP013245.1,-,1,6019,5850,11/24/2015,3/18/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/845/GCF_001447845.1_ASM144784v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/845/GCA_001447845.1_ASM144784v1
Pseudomonas aeruginosa,NCTC10332,19537,SAMEA2479570 ,PRJEB6403,Proteobacteria,Gammaproteobacteria,GCA_001457615.1 ,6.31698,66.5,chromosome 1:NZ_LN831024.1/LN831024.1,-,1,5980,5761,3/22/2015,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/615/GCF_001457615.1_NCTC10332,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/615/GCA_001457615.1_NCTC10332
Pseudomonas aeruginosa,12-4-4(59),19537,SAMN04351367 ,PRJNA306518,Proteobacteria,Gammaproteobacteria,GCA_001482325.1 ,6.43191,66.3,chromosome:NZ_CP013696.1/CP013696.1,-,1,6113,5949,12/24/2015,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/482/325/GCF_001482325.1_ASM148232v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/482/325/GCA_001482325.1_ASM148232v1
Pseudomonas aeruginosa,S86968,19537,SAMN02894350 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001515845.2 ,6.93428,66,chromosome:NZ_CP008865.2/CP008865.2,-,1,6620,6399,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/845/GCF_001515845.2_ASM151584v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/845/GCA_001515845.2_ASM151584v2
Pseudomonas aeruginosa,T38079,19537,SAMN02894349 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001515915.2 ,6.79574,66.1,chromosome:NZ_CP008866.2/CP008866.2,-,1,6435,6176,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/915/GCF_001515915.2_ASM151591v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/915/GCA_001515915.2_ASM151591v2
Pseudomonas aeruginosa,T52373,19537,SAMN02894348 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516005.1 ,6.32246,66.5,chromosome:NZ_CP008867.1/CP008867.1,-,1,5923,5691,1/15/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/005/GCF_001516005.1_ASM151600v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/005/GCA_001516005.1_ASM151600v1
Pseudomonas aeruginosa,T63266,19537,SAMN02894347 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516105.1 ,6.45687,66.3,chromosome:NZ_CP008868.1/CP008868.1,-,1,6129,5925,1/15/2016,4/2/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/105/GCF_001516105.1_ASM151610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/105/GCA_001516105.1_ASM151610v1
Pseudomonas aeruginosa,W16407,19537,SAMN02894346 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516165.2 ,6.80884,65.9,chromosome:NZ_CP008869.2/CP008869.2,-,1,6470,6234,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/165/GCF_001516165.2_ASM151616v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/165/GCA_001516165.2_ASM151616v2
Pseudomonas aeruginosa,W36662,19537,SAMN02894345 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516185.2 ,6.79173,66.2,chromosome:NZ_CP008870.2/CP008870.2,-,1,6467,6286,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/185/GCF_001516185.2_ASM151618v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/185/GCA_001516185.2_ASM151618v2
Pseudomonas aeruginosa,W45909,19537,SAMN02894344 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516205.2 ,6.77757,66.2,chromosome:NZ_CP008871.2/CP008871.2,-,1,6475,6299,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/205/GCF_001516205.2_ASM151620v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/205/GCA_001516205.2_ASM151620v2
Pseudomonas aeruginosa,W60856,19537,SAMN02894343 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516225.2 ,6.8967,66.2,chromosome:NZ_CP008864.2/CP008864.2,-,1,6552,6376,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/225/GCF_001516225.2_ASM151622v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/225/GCA_001516225.2_ASM151622v2
Pseudomonas aeruginosa,F23197,19537,SAMN02894358 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516245.2 ,6.51734,66.2,chromosome:NZ_CP008856.2/CP008856.2,-,1,6113,5941,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/245/GCF_001516245.2_ASM151624v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/245/GCA_001516245.2_ASM151624v2
Pseudomonas aeruginosa,F30658,19537,SAMN02894357 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516265.1 ,7.27326,65.8,chromosome:NZ_CP008857.1/CP008857.1,-,1,6964,6717,1/15/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/265/GCF_001516265.1_ASM151626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/265/GCA_001516265.1_ASM151626v1
Pseudomonas aeruginosa,H5708,19537,SAMN02894355 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516305.2 ,6.33438,66.5,chromosome:NZ_CP008859.2/CP008859.2,-,1,5968,5829,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/305/GCF_001516305.2_ASM151630v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/305/GCA_001516305.2_ASM151630v2
Pseudomonas aeruginosa,H27930,19537,SAMN02894354 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516325.2 ,6.56823,66.3,chromosome:NZ_CP008860.2/CP008860.2,-,1,6179,5982,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/325/GCF_001516325.2_ASM151632v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/325/GCA_001516325.2_ASM151632v2
Pseudomonas aeruginosa,H47921,19537,SAMN02894353 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516345.1 ,6.83641,66.1,chromosome:NZ_CP008861.1/CP008861.1,-,1,6525,6306,1/15/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/345/GCF_001516345.1_ASM151634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/345/GCA_001516345.1_ASM151634v1
Pseudomonas aeruginosa,M1608,19537,SAMN02894352 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516365.2 ,6.46002,66,chromosome:NZ_CP008862.2/CP008862.2,-,1,6145,5934,1/15/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/365/GCF_001516365.2_ASM151636v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/365/GCA_001516365.2_ASM151636v2
Pseudomonas aeruginosa,M37351,19537,SAMN02894351 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001516385.1 ,6.89723,66,chromosome:NZ_CP008863.1/CP008863.1,-,1,6614,6387,1/15/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/385/GCF_001516385.1_ASM151638v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/385/GCA_001516385.1_ASM151638v1
Pseudomonas aeruginosa,USDA-ARS-USMARC-41639,19537,SAMN04158502 ,PRJNA281531,Proteobacteria,Gammaproteobacteria,GCA_001518975.1 ,6.36458,66.4,chromosome:NZ_CP013989.1/CP013989.1,-,1,6012,5856,1/20/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/518/975/GCF_001518975.1_ASM151897v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/518/975/GCA_001518975.1_ASM151897v1
Pseudomonas aeruginosa,X78812,19537,SAMN02894342 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001542795.2 ,6.34876,66.4,chromosome:NZ_CP008872.2/CP008872.2,-,1,5953,5807,1/29/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/795/GCF_001542795.2_ASM154279v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/795/GCA_001542795.2_ASM154279v2
Pseudomonas aeruginosa,F9670,19537,SAMN02894359 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001542835.1 ,6.79435,66.1,chromosome:NZ_CP008873.1/CP008873.1,-,1,6432,6028,1/29/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/835/GCF_001542835.1_ASM154283v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/835/GCA_001542835.1_ASM154283v1
Pseudomonas aeruginosa,NCGM257,19537,SAMD00020552 ,PRJDB3186,Proteobacteria,Gammaproteobacteria,GCA_001547955.1 ,7.09069,65.9,chromosome Unknown:NZ_AP014651.1/AP014651.1,-,1,6910,6712,2/25/2015,5/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/955/GCF_001547955.1_ASM154795v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/547/955/GCA_001547955.1_ASM154795v1
Pseudomonas aeruginosa,8380,19537,SAMD00027370 ,PRJDB3600,Proteobacteria,Gammaproteobacteria,GCA_001548135.1 ,6.61326,66.2,chromosome Unknown:NZ_AP014839.1/AP014839.2,-,1,6300,6150,4/22/2015,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/135/GCF_001548135.1_ASM154813v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/135/GCA_001548135.1_ASM154813v1
Pseudomonas aeruginosa,IOMTU 133,19537,SAMD00042491 ,PRJDB4304,Proteobacteria,Gammaproteobacteria,GCA_001548335.1 ,6.89702,66,chromosome Unknown:NZ_AP017302.1/AP017302.1,-,1,6539,6338,11/26/2015,5/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/335/GCF_001548335.1_ASM154833v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/335/GCA_001548335.1_ASM154833v1
Pseudomonas aeruginosa,F63912,19537,SAMN02894356 ,PRJNA253624,Proteobacteria,Gammaproteobacteria,GCA_001594325.2 ,6.61877,66.3,chromosome:NZ_CP008858.2/CP008858.2,-,1,6353,6186,1/15/2016,4/26/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/325/GCF_001594325.2_ASM159432v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/325/GCA_001594325.2_ASM159432v2
Pseudomonas aeruginosa,N17-1,19537,SAMN03145716 ,PRJNA265138,Proteobacteria,Gammaproteobacteria,GCA_001606045.1 ,6.37073,66.4,chromosome:NZ_CP014948.1/CP014948.1,-,1,6038,5899,4/4/2016,3/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/045/GCF_001606045.1_ASM160604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/045/GCA_001606045.1_ASM160604v1
Pseudomonas aeruginosa,ATCC 27853,19537,SAMN04589231 ,PRJNA316664,Proteobacteria,Gammaproteobacteria,GCA_001618925.1 ,6.82774,66.1,chromosome:NZ_CP015117.1/CP015117.1,-,1,6546,6376,4/12/2016,3/20/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/925/GCF_001618925.1_ASM161892v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/925/GCA_001618925.1_ASM161892v1
Pseudomonas aeruginosa,BAMCPA07-48,19537,SAMN04893615 ,PRJNA319532,Proteobacteria,Gammaproteobacteria,GCA_001632245.1 ,7.02155,66,chromosome:NZ_CP015377.1/CP015377.1,-,1,6795,6512,4/26/2016,3/20/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/245/GCF_001632245.1_ASM163224v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/245/GCA_001632245.1_ASM163224v1
